N,Species,Recap_Date,Period,PIT_Tag,Recap_Loc,Moved,Visual,Removed,Bare_Tag,Known_Death,Pre_Alive,Pen_ID, SVL_mm,TL_mm,Mass_g,Photo,Release,Notes,proofed
1,AMAN,8/1/2018,1,x0987,"1,3,L",1,1,0,0,0,1,"1,3",37,45,0.87,,8/4/2018,Partial tail,
2,AMAN,8/1/2018,1,x0944,"1,3,B6",1,0,0,0,0,1,"1,3",,,,,,no visual ,
3,AMAN,8/1/2018,1,x0950,"1,3,B6",1,0,0,0,0,1,"1,3",,,,,,,
4,AMAN,8/1/2018,1,x0861,"1,3,B",1,0,0,0,0,1,"1,3",,,,,,in unknown burrow,
5,AMAN,8/1/2018,1,x0847,"1,5,B",1,0,0,0,0,1,"1,5",,,,,,in unknown burrow,
6,AMAN,8/1/2018,1,x0866,"1,5,B4",1,0,0,0,0,1,"1,5",,,,,,,
7,AMAN,8/1/2018,1,x0808,"1,6,P3",1,2,1,1,0,0,"1,6",NA,NA,NA,NA,NA,bare tag in pitfall trap,
8,AMAN,8/1/2018,1,x0875,"1,6,P3",1,2,1,1,0,0,"1,6",NA,NA,NA,NA,NA,bare tag in pitfall trap,
9,AMAN,8/1/2018,1,x0868,"1,6,B",1,0,0,0,0,1,"1,6",,,,,,unknown burrow,
10,AMAN,8/1/2018,1,x0983,"1,4,L",1,0,0,0,0,1,"1,4",,,,,,unknown burrow,
11,AMAN,8/1/2018,1,x0931,"1,4,B",1,0,0,0,0,1,"1,4",,,,,,unknown burrow,
12,AMAN,8/1/2018,1,x0807,"1,4,B",1,0,0,0,0,1,"1,4",,,,,,unknown burrow,
13,AMAN,8/1/2018,1,x0917,"1,4,B",1,0,0,0,0,1,"1,4",,,,,,unknown burrow,
14,AMAN,8/1/2018,1,x0921,"1,4,B1",1,0,0,0,0,1,"1,4",,,,,,,
15,AMAN,8/1/2018,1,x0925,"1,4,L",1,1,0,0,0,1,"1,4",41,69,2.02,,8/4/2018,,
16,AMAN,8/1/2018,1,x0919,"2,1,B5",1,0,0,0,0,1,"2,1",,,,,,,
17,AMAN,8/1/2018,1,x0085,"2,1,B5",1,0,0,0,0,1,"2,1",,,,,,moved from Britt search,
18,AMAN,8/1/2018,1,x0826,"2,1,B1",1,0,0,0,0,1,"2,1",,,,,,,
19,AMAN,8/1/2018,1,x0956,"2,1,B1",1,0,0,0,0,1,"2,3",,,,,,,
20,AMAN,8/1/2018,1,x0084,"2,1,B2",1,0,0,0,0,1,"2,7",,,,,,,
21,AMAN,8/1/2018,1,x0833,"2,1,L",1,1,0,0,0,1,"2,1",39,73,1.61,,8/4/2018,,
22,AMAN,8/1/2018,1,x0832,"2,1,P2",1,1,0,0,0,1,"2,1",36,51,0.94,,8/4/2018,in sponge of pitfall,
23,AMAN,8/1/2018,1,x0936,"2,5",1,1,0,0,0,1,"2,5",39,70,1.73,,8/4/2018,,
24,AMAN,8/1/2018,1,x0911,"2,5,L",1,1,0,0,0,1,"2,5",34,62,1.18,,8/4/2018,,
25,AMAN,8/1/2018,1,x0929,"2,5",1,0,0,0,0,1,"2,5",,,,,,,
26,AMAN,8/1/2018,1,x0904,"2,5,P2",1,1,0,0,0,1,"2,5",35,65,1.02,,8/4/2018,,
27,AMAN,8/1/2018,1,x0938,"2,5,P2",1,1,0,0,0,1,"2,5",36,60,1.05,,8/4/2018,,
28,AMAN,8/1/2018,1,x0818,"2,5,L",1,1,0,0,0,1,"2,5",31,57,0.9,,8/4/2018,,
29,AMAN,8/1/2018,1,x0933,"2,5,L",1,1,0,0,0,1,,38,68,1.3,,8/4/2018,found in leaf litter,
30,AMAN,8/1/2018,1,x0812,"2,7,L",1,1,0,0,0,1,"2,7",30,52,0.72,,8/4/2018,found in leaf litter,
31,AMAN,8/1/2018,1,x0083,"2,7,L",1,2,1,1,0,0,"2,8",NA,NA,NA,,NA,bare tag in leaf litter,
32,AMAN,8/1/2018,1,x0854,"2,7,P1",1,2,1,1,0,0,"2,7",NA,NA,NA,,NA,bare tag in sponge ,
33,AMAN,8/1/2018,1,x0801,"2,7,P3",1,2,1,1,0,0,"2,7",NA,NA,NA,,NA,bare tag in sponge,
34,AMAN,8/1/2018,1,x0971,"2,2,L",1,2,1,1,0,0,"2,8",NA,NA,NA,,NA,bare tag in poop from snake? See pictures,
